Code,Designation,Stock,Emplacement,Prix d'achat,Prix de vente HT,Prix de vente TTC,
05P1493,PATIN AV MEGANE III /DOKKER /DUSTER /CLIO5,1,12B,47.899,64.663,76.948,
19559,COUVER PEDALE STD,0,,0.719,2.517,2.995,
12542479,AMORTISSEUR AV QASHQAI J10 G ,0,BUREAU,112.491,151.862,180.715,
255300,CAPTEUR DE COMPTEUR DACIA,0,F,36.778,47.811,56.895,
05P1901,PATIN AV TRAFIC III,1,12C,50.375,68.006,80.927,
03619,BOUCHON D'HUILE CLIO /KANGOO,4,17A1,3.285,5.256,6.254,
4003222,TRIANGLE MEGANE II D,0,,67.335,87.536,104.167,
418755P,POCHETTE MOTEUR CLIO CLASSIC /SYMBOL,0,7C*,104.526,135.884,161.701,
15499,TUBE D'EAU MEGANE II *ESS*,0,11**,15.688,36.082,42.937,
530018,CABLE COMPTEUR R21 NEVADA,0,,7.142,10.713,12.748,
5936000,JEUX DE CHEMISE Q76 DCI,0,13,154.592,208.699,248.351,
631014089R,AILE AV CLIO 4 G *2013*,0,DEPOT,223.579,279.474,332.574,
7303415,COURROIE DE CHAINE MASTER *153D*PLAT,1,16D,21.912,35.059,41.720,
7701034872,FILTRE A AIR R19 /CLIO INERGE,0,,8.760,11.388,13.551,
77753610 0.25,JEUX DE COUSS L 1.9DCI *025*,0,9B,24.724,55.629,66.198,
8200197555,PAREHUILE CARDAN 1.9DCI MEGANE II D,0,,25.995,44.192,52.588,
826563,KIT EMBRAYAGE LAGUNA ESS,0,,336.493,454.265,540.575,
9264,KIT EMBRAYAGE R19 /EXP /R9 /CLIO DIESEL,0,,71.352,107.028,127.363,
8203603,PAREBOUE AV DUSTER D,0,,67.917,88.292,105.067,
GF654,SOUPAPE ADM SUP5/R19 DIESEL,0,16A*,4.780,6.214,7.394,
ART0012836,ROTULE INF ISUZU,0,,0.000,0.000,0.000,
RN6049,TRIANGLE MEGANE III D,0,,67.533,87.793,104.473,
127211,AMORTISSEUR MAL CLIO CHIPIE,0,,16.144,29.866,35.540,
RN7001581,ENJOLIVEUR AIL AV CAPTURE D,0,,114.819,155.005,184.455,
7702127968X,SERRURE DE PORTE AV R19 /EXP /SUP5 G,0,17D**,21.897,43.794,52.114,
RS5510,MANO MARCHE AR CLIO /SYMBOL,0,,10.370,14.518,17.276,
7700314057,DEBITMETRE 1.9DCI,-1,,206.169,278.328,331.210,
72-7655,POIGNEE DE PORTE INT CLIO II D *TIGE*,14,8E1,8.348,11.269,13.410,
P1-RSB5,PARECHOC AV SYMBOL II FACE II,0,DEPOT,168.541,252.811,300.845,
15LG002,PAREBOUE AV DOKKER G ,0,DP,25.634,34.605,41.179,
901008961R,MAL CLIO 4 2013,0,,550.860,1019.091,1212.718,
7701473703X,AILE AV MEGANE II D,0,DP,53.574,72.324,86.065,
ART0009363,Barillet de porte.,-1,,0.000,0.000,0.000,
KR-282,NECC PEDALE R9/R19,0,10D1,6.148,14.140,16.826,
PU-RSB35,GRILLE PARECHOC SYMBOL I *S/A*,2,DP/,0.000,0.000,0.000,
KR-448,POIGNEE DE PORTE INT CLIO II G *TIGE*,0,16*,7.607,10.269,12.220,
VG0232124,GRILLE PARECHOC POLO 7 G,0,,15.933,21.509,25.595,
F2000V,JEUX DE DISQUE AV PUNTO,0,,103.705,103.705,123.408,
543033456R,AMORTISSEUR AV LATITUDE G,0,,245.902,331.967,395.040,
SY-RN10-04,CAPOT MOTEUR SANDERO II /MCV,0,,282.600,381.510,453.996,
RE-SB-8013,SILENTBLOC TRIANGLE MEGANE III /FLUANCE *GM*,4,R18**,20.819,28.105,33.444,
ADN16143,REFREGERANT 1.5DCI,0,,125.998,170.097,202.415,
31417,SUPPORT MOTEUR D TRAFIC II 1.9D,0,6A**,74.998,101.247,120.483,
B03014163,BAGUETTE DE PORTE AR CLIO 2002 D,0,K**,10.862,14.663,17.448,
