Code,Designation,Stock,Emplacement,Prix d'achat,Prix de vente HT,Prix de vente TTC,
08320,PARECHOC AR MEGANE III *2PORTE*,0,,88.087,132.130,157.234,
104254,AMORTISSEUR AV CLIO CHIPIE,2,BUREAU,73.000,137.240,163.315,
12010200,PAREHUILE SOUPAPE DCI,-1,,1.670,2.505,2.980,
1503,BIELLE DIRECTION LAGUNA AM,0,,14.668,22.002,26.182,
3PK750B,COURROIE ALT *3PK750*,-2,T**,10.199,13.768,16.383,
IC15-1053,BOBINE ALUMAGE CLIO /KANGOO,1,11D,73.278,98.925,117.720,
256890,POIGNEE DE PORTE AV G KANGOO,0,,13.990,20.985,24.972,
710175,OPTIQUE 206 D,0,,77.379,104.461,124.308,
3625,SPOILER SOUS PARECHOC CLIO 2001,0,COIN*,29.848,44.772,53.278,
4005133,SILENTBLOC BARRE AR MASTER NM,2,4E2,25.893,33.661,40.056,
421093,CABLE EMBRAYAGE R19,0,,20.851,27.106,32.256,
480138 A,OPTIQUE CLIO D,0,,80.295,104.384,124.216,
53151,CABLE VITESSE MEGANE II *BLEU*,0,,64.800,90.720,107.956,
59811281,JEUX DE PISTON KANGOO Q80.5,0,,257.000,334.100,397.579,
633532,AMORTISSEUR AR ISUZU,0,,14.479,20.271,24.122,
731909,RADIATEUR D'EAU CLIO /KANGOO NM ESS,0,,73.067,109.601,130.425,
7701054967,CACHE VENTILATEUR MEGANE II,0,,123.219,160.185,190.620,
889 ,PATIN AV MAZDA,0,,61.218,82.644,98.346,
8200247950,SERRURE CAPOT KANGOO NM,0,,58.016,75.421,89.750,
NI-BJ-13545,ROTULE SUSP MICRA K13,0,2C,26.946,36.377,43.288,
9290401,BIELLE DIRECTION MASTER II,0,,24.686,32.092,38.189,
DDF1124,JEUX DE DISQUE AV MEGANE II,0,4**,146.781,198.154,235.803,
GS0552,AMORTISSEUR MAL R19 *COUPE*,2,,24.704,32.115,38.216,
PU-RC6,GRILLE PARECHOC CLIO III 09,0,,55.900,83.850,99.781,
RX26105,TENDEUR DE CHAINE MEGANE /LAGUNA ESS,2,15D,20.417,32.667,38.873,
8200134513,TUBE D'EAU MEGANE II *ESS*,0,9E2,15.998,47.994,57.112,
EFM1160304,JAUGE RESERVOIR CLIO III,1,FA,163.636,220.908,262.880,
951202,SUPPORT MOTEUR AV LOGAN D ,0,,106.515,143.795,171.116,
R3589/S,SOUPAPE ADM R9 /EXP /R19 ESS,0,16A*,4.809,6.492,7.725,
6138520000 STD,JEUX DE COUSS B CLIO /KANGOO DIESEL *STD*,0,16D**,28.471,45.553,54.208,
7700873701,BOBINE ALUMAGE CLIO /KANGOO,0,,52.937,71.464,85.042,
PX-KAD13-RL,BAGUETTE DE PORTE AR KADJAR G,1,DEPOT,86.227,116.406,138.523,
FS05090,TENDEUR DE CHAINE R9 DIESEL *PM*,0,,21.498,29.022,34.536,
LLI212,FEU AR CLIO 4 G *MOBILE*,0,,106.658,143.988,171.345,
111-01-1005R,ROTULE DIRECTION JUKE D ,0,4A*,32.905,53.635,63.825,
05-0362,MAITRE CYLINDRE.,-1,2,0.000,0.000,0.000,
RE-ES-3755,ROTULE DIRECTION LOGAN /DOKKER /SYMBOL II G,1,2C,28.270,38.164,45.415,
HYK92101C7120,OPTIQUE HYUNDAI I20 G,0,,1335.295,1802.648,2145.151,
004441,JOINT CULASSE CLIO 4 TCE *3CYL*,1,7C**,59.439,80.242,95.487,
13456178,TRAVERSE ASTRA J,-1,,728.598,859.745,1023.096,
04-0984,CYLINDRE DE ROUE LOGAN /DOKKER /MICRA,1,3D,21.285,28.734,34.193,
562410CH,JEUX DE DISQUE AV SCENIC II ,0,,125.836,169.878,202.154,
ART0011201,POIGNE.,-6,,0.000,0.000,0.000,
144607440R,DURITE TURBO DOKKER,0,BUREAU,270.924,528.301,628.678,
3583,FEU DE COTE SYMBOL I G,0,16EC**,11.135,15.032,17.888,
133HTDP26,COURROIE DE CHAINE 1.9DCI *133D*,0,16C,48.194,65.061,77.422,
9925,COUVERCLE FILTRE A HUILE QASHQAI J10 /TRAFIC ,0,18C**,12.958,17.493,20.816,
732819,RADIATEUR D'EAU TWINGO,0,,424.950,573.682,682.681,
133313,JAUGE RESERVOIR CLIO *2SORTIE*,0,FA,199.838,269.781,321.039,
7PK1770H,COURROIE ALT 7PK1770,1,T**,38.221,51.598,61.401,
3304020,CORP THERMOSTAT MEGANE II /III ESS,0,11D,59.845,107.721,128.187,
ART0014029,PASTILLE.,-4,,0.000,0.000,0.000,
3557,ANTIB CLIO 2002 G,0,5A,33.222,44.849,53.370,
KD455.49,KIT CHAINE 1.5DCI 123D,1,16C,143.970,194.359,231.287,
535034510,POULIE ALT SCE,1,15B,58.699,96.853,115.255,
ART0015066,MOTEUR ESUI-GLACE.,-1,,0.000,0.000,0.000,
19008003-00,JEUX DE SEGMENT Q80 DCI *2.5X2.0X3.0* C,1,11A,88.654,119.682,142.421,
15LO002,PAREBOUE AV LOGAN G ,1,DP,23.787,32.112,38.213,
0845000010,JEUX DE SEGMENT Q69 *1.2X1.5X2.5* CLASSIC,0,11A,153.664,207.446,246.860,
104255,AMORTISSEUR AV CLIO II,0,BUREAU,97.570,131.719,156.745,
12010674B,PAREHUILE ARB 30X42X7 BOMBEE,4,A3**,4.436,14.195,16.892,
150453,TETE CARDAN MASTER NM*D.PM*ABS,0,,44.650,71.440,85.013,
4pk1538b,COURROIE ALT *4PK1538*,0,T**,15.112,20.401,24.277,
224332428R,BOBINE ALUMAGE CLIO 4 /QASHQAI TCE,1,FA,96.996,130.944,155.823,
256891,POIGNEE DE PORTE AV D KANGOO,0,,13.162,19.743,23.494,
B03072684,RETROVISEUR DOKKER D *ELECTRIQUE*,0,17B**,95.945,129.525,154.134,
03625,FEU RETROVISEUR SYMBOL II G,0,16EC*,19.685,26.574,31.623,
4005146,BIELLE SUSP MEGANE II *GM*,0,2F,21.269,28.713,34.168,
00000442754,AGRAFFE  ,-24,FA,0.000,0.000,0.000,
480305,OPTIQUE CLIO 98 G,0,**,103.267,134.247,159.753,
53152,CABLE VITESSE MEGANE II *GRIS*,0,,64.800,90.720,107.956,
59813280,JEUX DE PISTON LAGUNA/TRAFIC Q80 1.9DCI,1,13*,500.000,625.000,743.750,
ART0012864,FEU AR D AUDI A3 *FIX*,-1,,0.000,0.000,0.000,
731910,RADIATEUR D'EAU KANGOO DIESEL 1.9,0,,249.000,336.150,400.018,
7701056972,CAOUTCHOU CACHE MOTEUR MEGANE II /QASHQAI,0,A1*,12.360,15.450,18.385,
7830,DURITE SUP R19 DIESEL,0,4F1,8.870,14.192,16.888,
8200255423,JAUGE D'HUILE CLIO CLASSIC*LB27*,0,,40.560,50.700,60.333,
828943-0.50,JEUX DE COUSS B 66645RA0.50,-1,,14.995,28.491,33.904,
9290410,BIELLE DIRECTION CLIO /KANGOO *PM*,0,3A,9.445,13.223,15.735,
DDF1201,JEUX DE DISQUE AV MEGANE II /CLIO III,0,8**,107.806,145.538,173.190,
GS0694,AMORTISSEUR MAL MEGANE II,-1,,17.127,32.541,38.723,
PU-RC6-1,BAGUETTE PARECHOC AV CLIO III *SOUS GRILLE*,0,COIN*,48.913,63.587,75.668,
34126,VENTILATEUR CHAUFAGE MEGANE II,0,F*,120.858,163.158,194.158,
2178g,AMORTISSEUR AV MASTER 98 ,0,,86.669,117.003,139.233,
1234567,PLAGE AV MEGANE AM,1,DEPOT,0.000,0.000,0.000,
5511987R,FEU AR LOGAN D *TAXI*,3,BUREAU,43.000,62.350,74.196,
R4933/S,SOUPAPE ADM CLIO /KANGOO 1.2,4,11B,11.998,16.197,19.274,
6138510000 STD,JEUX DE COUSS B R19 /EXP DIESEL *STD*,0,16D*,27.546,39.941,47.529,
7D0171,TAMBOUR AR EXP /SUPER 5 *GM*,0,,51.813,69.947,83.236,
PX-KAD14-RR,BAGUETTE DE PORTE AR KADJAR D,1,DEPOT,86.227,116.406,138.523,
3540,BAGUETTE DE PORTE AV CLIO 2002 D,1,K**,16.464,24.696,29.388,
932307Z,KLAXON 12V,0,11A,24.446,33.002,39.272,
4628,BIELLE SUSP MEGANE II *GM*,0,4F**,15.898,21.462,25.539,
24304Z,PATIN AV CLIO II,0,2,22.687,30.627,36.446,
213052032R,REFREGERANT TCE,0,FA,348.582,470.585,559.996,
ART0009910,PARECHOC AV.,-4,,0.000,0.000,0.000,
8224903,OPTIQUE DUSTER FACE II D *NOIR*,0,,373.720,504.522,600.381,
4161622,RENFORT PARECHOC AV ASTRA J,-1,,387.585,523.239,622.654,
LO-17110,GRILLE PARECHOC SANDERO II FACE II /MCV NM,0,T**,107.207,144.729,172.227,
19909,SUPPORT B.V LAGUNA AM *BIELLE*,0,6B**,38.437,51.889,61.747,
72-8308,BOULE DE VITESSE CLIO /KANGOO,0,,11.188,15.103,17.972,
205619,TENDEUR ALT 2.0 DCI,0,15B,24.745,37.117,44.169,
RKP421,FILTRE A AIR MEGANE 1.5DCI,0,1**,12.000,16.200,19.278,
153HTD25,COURROIE DE CHAINE 153D KANGOO /MEGANE AM,0,16C,48.191,65.057,77.417,
ART0012691,POMPETTE GASOIL.,-5,,0.000,0.000,0.000,
53404,RADIATEUR D'EAU GOLF,0,,191.653,258.731,307.889,
402294,MAITRE CYLINDRE MEGANE AM /SCENIC,1,,83.998,113.397,134.942,
414300,MOTEUR VENTILATEUR CLIO BOMBEE ,0,DP**,143.995,194.393,231.327,
ART0013755,CLAPEE,-2,,0.000,0.000,0.000,
0812340730,JEUX DE SEGMENT Q76.5 DCI *2.0X2.0X2.5*,1,11A,195.992,264.589,314.860,
1954018,PAREHUILE CARDAN MEGANE II G *GM*,4,8A,7.640,38.200,45.458,
206153,EMETEUR ASTRA G,0,,83.475,83.475,99.335,
CL-12723,BAGUETTE CALANDRE CLIO 4 CROMEE *JEUX*,1,17*,52.112,70.351,83.717,
ART0015067,CACHE RADIATEUR.,-1,,0.000,0.000,0.000,
C0233,BUTEE EMBRAYAGE CLIO /KANGOO,1,FA,19.851,26.798,31.889,
4735 ,POULIE VILB MEGANE II *6PK*,0,16E,146.985,198.429,236.130,
0848,TRIANGLE MEGANE II G/D,0,,55.000,77.000,91.630,
104256,AMORTISSEUR AV CLIO DIESEL,0,BUREAU,110.922,149.744,178.195,
12012900,PAREHUILE SOUPAPE CLIO BOMBEE,0,A5*,2.300,3.105,3.694,
15062300,PAREHUILE 28X42X5,0,,5.840,8.176,9.729,
1987948413,COURROIE ALT 5PK1195,0,,15.200,19.760,23.514,
224333529R,BOBINE ALUMAGE MEGANE II,0,11A*,37.815,83.193,98.999,
256892,POIGNEE DE PORTE LATERAL D KANGOO,0,,16.102,24.153,28.742,
ART0012865,BAGUETTE FEU AR,-1,,0.000,0.000,0.000,
3626,CALANDRE SYMBOL II ,1,T**,28.955,43.432,51.684,
4005147,BIELLE SUSP CLIO III /CLIO 4 / MICRA /CAPTURE,3,2F,21.522,29.054,34.574,
80003Z,RADIATEUR D'EAU 206,0,,127.016,171.471,204.050,
480306,OPTIQUE CLIO 98 D,0,,79.500,107.325,127.716,
5320,CORP THERMOSTAT CLIO CHIPIE,0,,5.635,9.016,10.729,
59813281,JEUX DE PISTON Q80.50 1.9DCI,0,,500.000,650.000,773.500,
91904021,ROTULE DIRECTION CLIO II /SYMBOL D,0,4B**,15.022,20.279,24.132,
731910X,RADIATEUR D'EAU KANGOO DIESEL,0,,112.259,145.937,173.665,
7701057654,OPTIQUE CLIO GRIS 2002 G ,0,,140.854,225.366,268.185,
7831,DURITE RADIATEUR R19,2,4F2,7.122,13.532,16.103,
8200273586X,AXE CAPOT MEGANE NM,0,,8.600,15.480,18.421,
828943-STD,JEUX DE COUSS B 66645RA-STD,0,,14.995,28.491,33.904,
9290411,BIELLE DIRECTION CLIO /KANGOO,0,,9.565,13.391,15.935,
DDF1498,JEUX DE DISQUE AR TRAFIC II,0,,124.585,155.731,185.319,
GS0854,AMORTISSEUR MAL MEGANE II,8,,20.116,30.174,35.907,
PU-RC7,GRILLE PARECHOC CLIO 4 *2013*,0,DEPOT*,49.774,74.661,88.846,
SYRN008C-001L,AILE AV CLIO 4 G,0,DP,67.635,91.307,108.655,
ART0009170,PATE A JOINT ,-1,,0.000,0.000,0.000,
8200800090,SUPPORT OPTIQUE CLIO III G *FACE2*,1,9*,22.000,37.180,44.244,
5511940R,FEU AR TWINGO NM D *99--07*,1,BUREAU,30.915,46.372,55.182,
R4934/R,SOUPAPE ECH CLIO /KANGOO 1.2,4,11B,15.899,21.463,25.540,
30008Z,KIT EMBRAYAGE LAGUNA /MEGANE AM /R21 /R19 ESS *GM*801577*,0,FA,89.917,148.363,176.551,
921001HC1A,RADIATEUR CLIMATISEUR MICRA K13,-1,,529.411,767.645,913.497,
05P2187,PATIN AV CLIO 5 / SANDERO / K14,3,12B,46.847,63.243,75.259,
MR0811,BAGUETTE DE PORTE AV R19 G,0,K,11.715,17.572,20.910,
PG-RC7-1C,BAGUETTE MAL AR CLIO 4 2013,0,,94.500,127.575,151.814,
04-0703,CYLINDRE DE ROUE CLIO 98,2,3D,22.499,30.373,36.143,
42005Z,POMPE A EAU R21 DIESEL,1,10C,65.998,89.097,106.025,
RS-579525,ANTIB SYMBOL II FACE II,0,18B*,28.850,38.947,46.346,
ART0009911,OPTIQUE HYUNDAI I20 D,0,,0.000,0.000,0.000,
25826Z,JEUX DE DISQUE AV LOGAN /SYMBOL II,0,8**,72.516,97.896,116.496,
3397013449,BALAIS Q40 RACLETTE,1,8A*,13.738,18.546,22.069,
20G270062BL,OPTIQUE SYMBOL II FACE II G,0,DP,248.313,335.222,398.914,
31395,SILENTBLOC TRAIN AR MEGANE II,0,4E2,24.995,39.992,47.590,
H1101/5 STD,JEUX DE COUSS L CLIO /KANGOO DIESEL,1,9B,70.811,95.594,113.756,
22-0635-0,PATIN AR TRAFIC II /III,0,12B,44.853,60.551,72.055,
19036100,PAREHUILE SOUPAPE CLASSIC /SYMBOL 1.2 16V *JEUX*,0,A5**,30.588,41.293,49.138,
4PK1538H,COURROIE ALT *4PK1538*,6,T**,20.204,32.326,38.467,
ART0012692,TIRAN DE PORTE.,-1,,0.000,0.000,0.000,
265558986R,FEU AR MEGANE 4 G *FIX*,-1,,626.000,769.980,916.276,
6PK1605H,COURROIE ALT 6PK1605,1,T**,33.567,45.315,53.924,
420800,MOTEUR VENTILATEUR MEGANE II,0,DP**,181.924,245.597,292.260,
ART0013756,ROTULE DIRECTION R25,-2,,0.000,0.000,0.000,
ART0014031,BAGUETTE DE PORTE AV G.,0,,0.000,0.000,0.000,
1954012,PAREHUILE CARDAN MEGANE II D *PM*,0,8A,7.201,36.725,43.702,
R155.120,MOYEAU DE ROUE AV TRAFIC III,1,10D,214.998,290.247,345.393,
15976,DURITE TURBO NISSAN,0,,173.736,173.736,206.745,
ART0015068,INSTALATION.,0,,0.000,0.000,0.000,
04-1000,CYLINDRE DE ROUE LOGAN / MCV,0,3D,25.998,35.097,41.765,
T012130612,VIS DE PORTE R21,0,,2.750,3.850,4.581,
79318,CAPTEUR VILB 1.5DCI,1,A2**,34.153,54.644,65.026,
10430,BOUCHON RESERVOIR TOUT TYPE,-2,,4.700,7.050,8.389,
12013859B,PAREHUILE VILB 35X47X7 *1.5DCI/1.4ESS*,0,A3**,10.857,14.656,17.440,
15079400,PAREHUILE 28X47X8,0,,16.050,16.050,19.099,
1987948435,COURROIE ALT *6PK1200*,0,,16.860,22.761,27.085,
OP1313,JOINT CARTER EXP /R19 /KANGOO 1.9D,2,7B**,15.239,20.572,24.480,
257470,PLAGE AV EXP NM ,0,DEPOT,70.000,114.100,135.779,
3079,CARDAN TRAFIC NM G 98---2001,1,BUREAU,107.870,215.740,256.730,
3627,PARECHOC AV CLIO CHIPIE,0,,55.000,77.000,91.630,
4005152,AXE DE BARRE DACIA,5,R17*,6.887,11.707,13.931,
421107,CABLE EMBRAYAGE CLIO,-1,,26.859,34.916,41.550,
480309,OPTIQUE CLIO GRIS G,0,,76.330,95.413,113.541,
532005810,TENDEUR R21 DIESEL PM,0,,14.800,28.120,33.462,
59814,SILENTBLOC TRAIN AR MEGANE II,0,,31.244,42.179,50.193,
6338,ROTULE SUSP MEGANE II*AXE16*,-1,,8.689,16.509,19.645,
732063,RADIATEUR D'EAU MASTER 2000------,0,,386.500,483.125,574.918,
7701057658,OPTIQUE CLIO GRIS 2002 D ,0,,140.840,225.344,268.159,
7842,DURITE D'EAU SUP CLIO /KANGOO 1.2,0,,7.835,12.536,14.917,
8200289846,SUPPORT PARECHOC AV CLIO III D ,0,,36.330,54.495,64.849,
MR0829,BAGUETTE DE PORTE AR KANGOO AM D,0,,13.728,19.219,22.870,
9290413,BIELLE DIRECTION TRAFIC II,0,,13.749,20.624,24.542,
DDF1502,JEUX DE DISQUE AV DACIA*562293*,0,4**,83.990,138.583,164.913,
GS8211,JEUX DE MACHOIR R19 /EXP,0,,24.584,34.418,40.957,
PU-RCP1,GRILLE PARECHOC CLIO CAMPUS II 2009---,1,T**,132.536,178.923,212.918,
80025Z,RADIATEUR D'EAU CLIO II BAZE,0,DP,154.950,209.182,248.926,
157320,FEU AR CLIO 2002 G,0,BUREAU,29.336,39.603,47.127,
8200800091,SUPPORT OPTIQUE CLIO III D *FACE2*,1,9*,22.000,37.180,44.244,
2291,FEU AR LOGAN G *VOITURE*,0,*,32.287,41.973,49.947,
R3649/S,SOUPAPE ECH R9 /EXP /SUP5 ESS,0,16A*,5.569,7.796,9.277,
9334,DURITE D'EAU VASE+RADIATEUR *JEUX*,0,4F1,47.130,63.625,75.713,
10077100,JOINT CULASSE Q83 LAGUNA/ESPACE ,0,7C*,39.100,52.785,62.814,
ART0008267,AILE AV DOKKER D,0,,0.000,0.000,0.000,
3542,BAGUETTE DE PORTE AR CLIO 2002 D,0,K**,17.888,24.148,28.736,
99F21L,AILE AV QASHQAI J11 G,0,DEPOT,189.398,255.687,304.267,
AFL6038A,JEUX DE BALAIS QASHQAI,0,8A*,21.302,28.757,34.220,
LFAF129,FILTRE A AIR MEGANE II 1.5DCI/1.6ESS,0,1*,10.816,14.601,17.375,
RS-579563L,CACHE ANTIB SYMBOL II G *A/A*,0,15*,13.470,18.184,21.638,
ART0009912,GRILLE SUR PLAGE.,0,,0.000,0.000,0.000,
07FL007,SUPPORT OPTIQUE FLUENCE G,1,BUREAU,54.272,84.121,100.103,
3397013455,BALAIS Q60 RACLETTE,1,8A*,15.861,21.412,25.480,
20G269062BR,OPTIQUE SYMBOL II FACE II D,0,DP,248.313,335.222,398.914,
735283 ,RADIATEUR D'EAU QASHQAI J10 ,0,DP,242.994,328.041,390.368,
4471 ,CAOUTCHOU DE BARRE LAGUNA II /TRAFIC II ,0,R14**,5.955,13.101,15.590,
535015310,POULIE ALT 2.0 DCI *7PK*,1,15C,86.996,130.494,155.287,
2209042,TRIANGLE KANGOO II D,0,,69.900,104.850,124.771,
6PK1200H,COURROIE ALT *6PK1200*,0,T**,24.758,37.879,45.076,
SKD027,KIT CHAINE LAGUNA /TRAFIC II 1.9DCI 133D,0,20B**,105.999,143.098,170.286,
ART0012978,PK17,0,,0.000,0.000,0.000,
ART0013238,AILE.,-1,,0.000,0.000,0.000,
352255,RADIATEUR TURBO CLIO 4 /CAPTUR TCE,0,FA,268.912,363.031,432.006,
ART0013757,LAMPE H11.,-1,,0.000,0.000,0.000,
ART0014032,BAGUETTE DE PORTE AR G.,0,,0.000,0.000,0.000,
5PK890B,COURROIE ALT 5PK890,0,T**,14.867,20.070,23.883,
07CL035,PARECHOC AR CLASSIC NM,0,,173.390,234.076,278.550,
532078010,TENDEUR ALT MICRA /JUKE,0,,0.000,0.000,0.000,
ART0015069,VASE ESUI-GLACE.,0,,0.000,0.000,0.000,
ART0015338,JOINT MAL ,-1,,0.000,0.000,0.000,
162994,AGRAFFE DE BAGUETTE CHIPIE,-3,,0.203,0.609,0.724,
0854,PIGNON POMPE A'HUILE R9/R11/EXP ESS,-2,,6.978,11.165,13.286,
10431,JEUXDE DISQUE FREIN AR MASTER NM*5TRO*,0,,69.760,97.664,116.220,
12015000,PAREHUILE SOUPAPE MEGANE*16V*,-32,,1.300,2.470,2.939,
15079500,PAREHUILE 32X44X6,-1,,18.760,25.326,30.137,
1987949031,COURROIE DE CHAINE 153D,0,,30.000,39.000,46.410,
GA225003,MOTEUR VENTILATEUR DACIA,0,DP,159.996,215.994,257.032,
258006046,SONDE LAMDA CLIO /KANGOO ,0,,89.462,134.193,159.689,
3084153,FEU AR MODUS D,0,,92.711,120.524,143.423,
3628,SIGLE AV SYMBOL II /CLIO 4 /CAPTUR,0,8C1,27.616,41.424,49.294,
4005257,ROTULE SUSP TOUT TYPE *D10*,8,3C2,13.394,26.788,31.877,
4217,SILENTBLOC TRIANGLE R25 GM,0,R6**,17.523,33.294,39.619,
480310,OPTIQUE CLIO GRIS D,0,,88.824,119.912,142.695,
534,PATIN AV R21,0,,18.613,24.197,28.794,
598180,PATIN AR MEGANE II,0,2,20.254,28.355,33.742,
18TC491,TRIANGLE JUKE G,0,8C**,67.344,90.914,108.187,
732316,RADIATEUR D'EAU MEGANE AM,0,DP,117.525,270.307,321.665,
7701061008,INJECTEUR CLIO CLASSIC /SYMBOL,0,,59.804,77.745,92.516,
7846,DURITE SUP CLIO AM,0,,10.998,15.397,18.322,
8200289937,PAREBOUE AV CLIO 2006 AV D,0,,54.908,71.380,84.942,
MR0830,BAGUETTE DE PORTE AR KANGOO AM G,0,,13.728,20.592,24.504,
9290442,BIELLE DIRECTION CLIO III,2,3A,18.591,25.097,29.865,
DF1013,JEUX DE DISQUE AV *561235*,0,1,116.966,157.904,187.905,
GS8534,JEUX DE MACHOIR CLIO ABS,0,,28.588,40.023,47.627,
PU-RSB2,GRILLE PARECHOC CLASSIC NM /CAMPUS I,0,T**,42.000,56.700,67.473,
4008679,TRIANGLE SYMBOL II /LOGAN /DOKKER G,0,8E**,69.075,93.251,110.968,
620227531R,PARECHOC AV SYMBOL II ,0,,674.000,829.020,986.533,
8200441204,POMPE A VIDE 1.5DCI,1,FA,0.000,0.000,0.000,
3570,FEU AR CLIO 2002 D,1,BUREAU,38.438,51.891,61.750,
0016,POIGNEE DE CHAISE CLIO III /SYMBOL,-4,,1.998,8.991,10.699,
860110,AMORTISSEUR AV LAND ROVER,0,,99.900,129.870,154.545,
266923,PLATEAU DEMBRAYAGE 404,0,,58.949,79.581,94.701,
P1-KAD1S,PARECHOC AV KADJAR *A/A*,0,DEPOT,237.123,320.116,380.938,
8200025862,FILTRE A HUILE COMPLER *LM563*,0,13,50.995,68.843,81.923,
99F21R,AILE AV QASHQAI J11 D ,0,DEPOT,189.398,255.687,304.267,
157415,FEU AR SYMBOL I D,1,BUREAU,28.759,38.824,46.200,
ART0009380,6PK1138,-2,,0.000,0.000,0.000,
RS-579563R,CACHE ANTIB SYMBOL II D *A/A*,0,15*,13.470,18.184,21.638,
66400C7000,CAPOT MOTEUR HYUNDAI I20,0,,289.600,390.960,465.242,
ART0010170,CACHE ANTIB GOLF 6,0,,0.000,0.000,0.000,
001DC015,CABLE VITESSE DOKKER 1.5DCI,1,BUREAU,153.708,207.505,246.930,
09391,SILENTBLOC TRIANGLE TRAFIC AM ,2,R13**,8.952,12.085,14.381,
545603G,AMORTISSEUR AV BIPPER,-2,,106.069,143.193,170.399,
5747 ,SUPPORT MOTEUR D MEGANE II 1.5DCI,0,4C2,144.193,194.660,231.645,
72-6027,KIT TOC AMORTISSEUR MEGANE II,0,F**,45.938,65.231,77.624,
MC7815,CARDAN CLIO 4 G *3CYLINDRE*,1,BUREAU,181.660,326.988,389.115,
6PK1792H,COURROIE ALT *6PK1792*,1,T**,40.840,55.134,65.609,
813523900,PAREHUILE ARB CLASSIC *28X47X8*,0,A4**,23.198,31.317,37.267,
ART0012979,PAREHUILE CARDAN 1.5 PM,-2,,0.000,0.000,0.000,
ART0013239,PAREBOUE.,-1,,0.000,0.000,0.000,
ART0013498,SOUFFLET CARDAN.,-2,,0.000,0.000,0.000,
19-2799,KIT ROULEMENT AV MEGANE II /MICRA /CLIO 4 /SYMBOL II,0,FA,54.998,74.247,88.353,
130C14613R,KIT CHAINE 119D,1,FA,241.509,326.037,387.984,
ART0014290,SERRURE MAL AR .,-1,,0.000,0.000,0.000,
ART0014555,CACHE ANTIB QASHQAI G,0,,0.000,0.000,0.000,
ART0014812,CABLE COMPTEUR.,0,,0.000,0.000,0.000,
415079610,VIOLANT MOTEUR 1.6DCI TRAFIC,0,,1419.767,1916.685,2280.855,
GF-141AF,JEUX DE MACHOIR QASHQAI J10 /JUKE,0,,43.646,58.922,70.117,
7701474190X,POMPE A EAU TRAFIC II /LAGUNA II 2.5DCI,0,10D,36.399,90.997,108.286,
4008678,TRIANGLE SYMBOL II /LOGAN /DOKKER D,0,8E**,69.075,93.251,110.968,
104327,AMORTISSEUR AV KANGOO,0,19C**,105.600,142.560,169.646,
12015283B,PAREHUILE CARDAN 36X54X7.5 R4/R5,1,A3**,3.255,5.208,6.197,
151010,FEU AR R4.FOR D,0,10C*,5.831,7.580,9.020,
1987949032,COURROIE DE CHAINE 125D,0,,32.600,42.380,50.432,
2254002,SILENTBLOC TRIANGLE MEGANE II *PM*,6,R6**,11.585,19.694,23.435,
258850,POCHETTE JOINT CLIO CLASSIC /SYMBOL *COPMLET*,0,,114.967,149.457,177.853,
3092,AMORTISSEUR AV KANGOO,0,,47.774,62.106,73.906,
3629,POMPE ESSENCE CLIO /KANGOO NM,0,,26.955,51.215,60.945,
4005277,ROTULE SUSP CLIO /KANGOO NM ,0,3C2,23.358,31.533,37.524,
422090,CABLE EMBRAYAGE TRAFIC,0,,16.000,24.000,28.560,
480311,OPTIQUE EXP II/SUP5 G,-2,,28.861,37.519,44.647,
534014130,TENDEUR ALT CLIO /MEGANE NM,0,,91.849,119.404,142.090,
59819480,JEUX DE PISTON DCI *Q76*,0,13*,328.000,442.800,526.932,
6342,ROTULE SUSP DACIA,0,,9.880,18.772,22.338,
732316X,RADIATEUR D'EAU MEGANE,0,,77.900,116.850,139.051,
7701061577,FILTRE GASOIL MEGANE DCI,0,,56.390,73.307,87.235,
7847,DURITE RADIATEUR CLIO DIESEL,0,,30.701,39.911,47.494,
8200290037,SUPPORT PARECHOC AR CLIO III G,-2,,35.493,46.140,54.906,
0832150000,JEUX DE SEGMENT Q80 *1.98X2.0X3.0*,0,11A,137.464,185.576,220.835,
9290446,BIELLE DIRECTION MEGANE II ,0,5B*,17.119,25.678,30.556,
DF2586,JEUX DE DISQUE AV CLIO /KANGOO *GM*,0,,88.966,129.001,153.511,
GS8669,JEUX DE MACHOIR CLASSIC /SYMBOL,0,,32.427,51.883,61.740,
PU-RSB4,GRILLE PARECHOC SYMBOL II,0,T**,71.227,71.227,84.760,
RC7371,JOINT CACHE SOUPAPE CLIO /KANGOO *PLAST*,0,7E1**,13.450,22.192,26.408,
251684,COMMODO LUMIERE DOKKER /SYMBOL,0,11E,168.989,228.135,271.480,
7700434715,SERRURE DE PORTE AV CLASSIC /SYMBOL D,0,FA,90.000,162.000,192.780,
202202R,OPTIQUE R19 D ,0,,46.050,62.167,73.978,
0041G,POIGNEE TOIE CLIO /SYMBOL,2,16*,14.895,19.363,23.041,
ART0007747,TRAVERSE SOUS PLAGE BERLANGO,-2,,0.000,0.000,0.000,
279677,DISQUE EMBRAYAGE R18,0,,149.586,201.941,240.309,
55DOT4,HUILE FREIN BENDIX ,13,14**,6.565,8.862,10.545,
MR0820,BAGUETTE DE PORTE AV CLIO CHIPIE D,0,K,18.679,28.018,33.341,
99F22,CAPOT MOTEUR QASHQAI J11,1,DEPOT,488.975,660.116,785.538,
157425,FEU AR SYMBOL I G,1,BUREAU,28.215,38.090,45.327,
